Subject,Words,Digits,Letters,OSPAN
1,4,6,8,6
2,4,6,6,6
3,5,6,6,6
4,4,8,6,4
5,4,6,4,3
6,4,6,6,6
7,4,8,6,6
8,4,6,8,3
9,4,6,6,6
10,4,5,6,5
11,3,6,4,2
12,4,7,5,6
13,4,6,5,5
14,4,6,5,4
15,4,6,8,5
16,4,8,5,5
17,3,5,4,6
18,2,6,5,6
19,3,5,5,3
20,4,4,4,5
21,5,6,6,4
22,4,7,5,3
